VoLL,Effectiveness,DiscountRate,k_star,NPV_star
5449.3593769446825,0.8300144294963698,0.09016571272101462,11567,5886962257.432804
6493.409446433438,0.930806343039791,0.09550018569034624,12414,7840312801.6293335
3923.6431424852926,0.9528063070335717,0.07240045408938998,11899,6303300664.120062
4396.602213702003,0.7850298680127956,0.08529526431699305,10765,4691488355.369777
6524.983384381814,0.9294998235062699,0.09956733550673398,12377,7732875046.071468
3227.6175983539924,0.8069360680095192,0.09916625264900204,9803,3766161081.115633
5789.2254865589275,0.9835166147278811,0.09653306240116205,12434,7783819517.590384
7631.297098000336,0.7831015456083887,0.10399647930422691,11900,6661834712.499058
3679.106972991269,0.9074407978195407,0.09422356117338787,11123,5107775066.651613
6335.822125703087,0.9518406374274929,0.08464234890879341,12564,8288818059.251068
6434.2268694035665,0.7852896988307256,0.08358988950103421,11774,6304214470.355309
7446.061672297667,0.9069449173162171,0.056742716343733124,12908,9716787472.729013
3506.5993968596345,0.840126451304665,0.11030800767828522,10144,4053312648.6394672
5687.854887673827,0.8793987419077096,0.09406644427317296,11929,6550536405.518316
3802.8373950533214,0.9453998433654714,0.08491867595976277,11619,5796097572.666779
3397.347525044776,0.8585857353376078,0.057913694696180885,11226,5207701411.113064
6681.9889255612425,0.824511330320573,0.07260555895047732,12234,7316421844.287092
3711.4374572122415,0.9613870691070749,0.053983829223074764,12093,6681615228.817244
6156.834096388817,0.9064447915773227,0.11771732162598524,11943,6645646041.810715
4752.312262541471,0.8947244971781629,0.06632606998630915,12023,6630922177.766546
4470.904561745331,0.9413783306852865,0.08763528020195897,11876,6311157377.178301
3040.830154514758,0.8676287228559113,0.09040371787747944,10428,4294681495.5123196
5709.164372569532,0.7675997630617324,0.054528325758170945,11787,6261651361.465809
4573.980638599805,0.8614957799742844,0.09379831216030687,11312,5424274709.735901
4066.9297055088464,0.9134686060738291,0.05321263636631148,12015,6543108778.902109
4736.149521558409,0.8581771367924544,0.10796983867489679,11129,5207778166.13444
6820.634459533539,0.887807559934331,0.07778120072847962,12503,8127242481.1523285
7736.3103164049835,0.7365178810197097,0.11558937500739545,11436,5853231015.187471
6188.499911581615,0.9137088350758524,0.08030340785967349,12413,7801085112.270382
5552.735236248718,0.8868172413318907,0.07662436704040926,12136,6991584914.045767
6337.641137090901,0.7289780348273353,0.08736246266029088,11224,5446878608.854023
3490.9028506133627,0.8300387753015668,0.1176691016170452,9881,3830192408.4931602
3659.43012576582,0.9718483679216864,0.07372599181322013,11870,6201391942.6160755
4958.6102128551975,0.8074173471918417,0.11109603608866006,10830,4805223192.658049
4374.633916030221,0.8368567110732765,0.1001208436181184,10912,4880575575.320046
3131.951450845351,0.8373488815193996,0.0931584080906784,10177,4057011016.249572
3298.0086700145657,0.955154256312003,0.07097544252607162,11624,5749051023.099403
7648.3972159210025,0.8102745106766926,0.09784291931793374,12136,7199593538.242949
6822.728846894546,0.9160261908436087,0.06036731056020389,12794,9096169287.692827
4959.057442318318,0.9766318099311482,0.07071644973521607,12428,7652779919.722651
7981.474128995102,0.9431871043900603,0.1132658671419379,12661,8799070718.603327
5371.5868250943895,0.9346437239807823,0.06207766189480102,12466,7833976339.05331
4127.806431120633,0.9688190602552963,0.09611423408318007,11758,6057024645.822321
6756.083867206146,0.9997339009569921,0.11085971488213661,12601,8470802489.984423
5164.526110436512,0.8315067626867296,0.09556405525546574,11356,5547317475.46875
6688.162907820434,0.884957679672118,0.06451965391293778,12580,8391278189.364515
4856.080431859924,0.9706560710219921,0.06350076378573047,12451,7697918181.426542
6749.6018860070535,0.9570117324591862,0.10373108228162677,12514,8154715322.0224
3901.1914633902234,0.7951664572920564,0.11615146515704226,9885,3849772934.5879087
4599.927147764658,0.9731762911420343,0.10361401811516827,11889,6352933974.085369
7744.615081329758,0.8216718447324338,0.08653858598776379,12335,7758799254.47464
3160.7573783452226,0.7445745712435384,0.09049621734256066,9171,3348075954.4937944
3154.497775639111,0.7109195609167549,0.0639409439065305,9414,3493145641.2303877
5123.828073515299,0.745335226238225,0.08763439328364457,10793,4763820856.343758
3226.3423282765098,0.8044746753955758,0.07448735174636997,10309,4194177524.493149
4551.385125464867,0.7866651035991906,0.08316143498356027,10902,4870734854.0693655
3699.9326996962322,0.871676996664302,0.09604119519959331,10844,4755969939.105087
6043.446157247357,0.8084200760696532,0.07966439248473424,11835,6380598963.73807
7698.649866732973,0.8972275150609036,0.07739554020374187,12761,9081660044.59902
4876.030228257497,0.7409437601077911,0.11021236047759708,10158,4111982125.9493666
7513.076380746951,0.8634703005121247,0.10155498263786655,12320,7691214364.388647
7004.20671286048,0.9742784239919742,0.08506531317730293,12821,9222023826.799702
7689.813063736734,0.9457959612644624,0.05852412838984071,13068,10484028063.014763
5549.709969302685,0.945569213494377,0.11990514702421279,11910,6504855405.522375
4698.545244949136,0.7708193184874067,0.09463221421679738,10641,4580870369.05526
3129.971857666083,0.7223973911489201,0.10291055928605138,8531,2967898100.387766
7353.601881042185,0.9530864585234698,0.08771168322906209,12805,9186732909.35934
7527.6374019870955,0.9891511671220788,0.09353906975946358,12892,9648957794.307755
6366.6630337750075,0.9710835572171932,0.10427687268440454,12459,7954947662.803226
7401.209650764515,0.8797507562290587,0.07275994093545995,12656,8712351882.121435
4963.75618232946,0.7679762417529757,0.05076623004479093,11508,5746357688.036465
3072.8529051256787,0.9489384380041437,0.07353375835742929,11403,5409768239.708561
6124.752350125904,0.8675252528531154,0.07935368422575585,12201,7191021827.995012
4450.226375410348,0.8276029803574747,0.08359762865836363,11148,5204820530.819874
7346.890399107679,0.7748764821339663,0.05614637305912216,12325,7684747038.371634
7914.521007132162,0.8377142875952568,0.10177331585131699,12297,7670075182.541466
3126.4666364044647,0.8979975139533436,0.0550341014718364,11401,5415329915.71357
4912.8345260318365,0.8499178724960321,0.07588861044967574,11684,6015768110.565504
4575.037140331432,0.9742452186395226,0.06909985216072602,12294,7280584302.451193
4086.0717080901595,0.9937839053043005,0.07918839805651401,12083,6708673976.532234
6114.80079008253,0.9726652919171184,0.09963157244793272,12447,7874880561.103228
5101.588664240182,0.9626558122645327,0.10534265239132773,12013,6660123675.798943
7412.85635867946,0.9334357526507142,0.10686132995254582,12547,8362179981.546833
7684.224178836982,0.7681000620968398,0.08463642110281805,12052,7020732451.031082
5227.501618421746,0.7760375055778345,0.0878170542885888,11075,5168671862.75141
5120.889218887198,0.9320385565843361,0.07169149957248097,12262,7263669636.260578
6469.320406123053,0.9105090083775285,0.053137543215611815,12771,8918094021.398876
3839.8173956644796,0.785982055053654,0.10103676678151771,10058,3990134284.822049
7539.177548413309,0.955908084407121,0.077171181883451,12922,9777164785.470268
4072.661403280395,0.9573235064667414,0.09380792600902786,11686,5948567473.336254
4559.303791740269,0.7280776303734973,0.08716432844748159,10259,4199479818.877982
6736.356471462626,0.9879480438400648,0.09107532298168898,12764,8934497797.238201
5038.534925580076,0.7270178320446367,0.09130809543182894,10477,4436135750.06231
4512.501426999623,0.8417867162330279,0.09013698355192157,11181,5254816388.489784
7418.250275609605,0.9940518920673905,0.09626352552783898,12862,9513236563.716145
7006.527218911047,0.70463168642545,0.07254843337742065,11541,5970944367.245281
5923.11796499459,0.7436867376189047,0.10656159558108373,10868,4910153481.940237
5868.049451182863,0.9874204465606322,0.11737762314279579,12250,7309939002.224936
